timestep,active_agents,evacuated_agents,avg_panic,max_panic,avg_stamina
433,14,61,0.0,0.0,0.0
434,14,61,0.0,0.0,0.0
435,14,61,0.0,0.0,0.0
436,14,61,0.0,0.0,0.0
437,14,61,0.0,0.0,0.0
438,14,61,0.0,0.0,0.0
439,14,61,0.0,0.0,0.0
440,14,61,0.0,0.0,0.0
441,14,61,0.0,0.0,0.0
442,14,61,0.0,0.0,0.0
443,14,61,0.0,0.0,0.0
444,14,61,0.0,0.0,0.0
445,14,61,0.0,0.0,0.0
446,14,61,0.0,0.0,0.0
447,13,62,0.0,0.0,0.0
448,13,62,0.0,0.0,0.0
449,13,62,0.0,0.0,0.0
450,13,62,0.0,0.0,0.0
451,13,62,0.0,0.0,0.0
452,13,62,0.0,0.0,0.0
453,13,62,0.0,0.0,0.0
454,13,62,0.0,0.0,0.0
455,13,62,0.0,0.0,0.0
456,13,62,0.0,0.0,0.0
457,13,62,0.0,0.0,0.0
458,13,62,0.0,0.0,0.0
459,13,62,0.0,0.0,0.0
460,13,62,0.0,0.0,0.0
461,13,62,0.0,0.0,0.0
462,13,62,0.0,0.0,0.0
463,13,62,0.0,0.0,0.0
464,13,62,0.0,0.0,0.0
465,13,62,0.0,0.0,0.0
466,13,62,0.0,0.0,0.0
467,13,62,0.0,0.0,0.0
468,13,62,0.0,0.0,0.0
469,13,62,0.0,0.0,0.0
470,13,62,0.0,0.0,0.0
471,13,62,0.0,0.0,0.0
472,13,62,0.0,0.0,0.0
473,13,62,0.0,0.0,0.0
474,13,62,0.0,0.0,0.0
475,13,62,0.0,0.0,0.0
476,13,62,0.0,0.0,0.0
477,13,62,0.0,0.0,0.0
478,13,62,0.0,0.0,0.0
479,13,62,0.0,0.0,0.0
480,13,62,0.0,0.0,0.0
481,13,62,0.0,0.0,0.0
482,13,62,0.0,0.0,0.0
483,13,62,0.0,0.0,0.0
484,13,62,0.0,0.0,0.0
485,13,62,0.0,0.0,0.0
486,13,62,0.0,0.0,0.0
487,13,62,0.0,0.0,0.0
488,13,62,0.0,0.0,0.0
489,13,62,0.0,0.0,0.0
490,13,62,0.0,0.0,0.0
491,13,62,0.0,0.0,0.0
492,13,62,0.0,0.0,0.0
493,13,62,0.0,0.0,0.0
494,13,62,0.0,0.0,0.0
495,13,62,0.0,0.0,0.0
496,13,62,0.0,0.0,0.0
497,13,62,0.0,0.0,0.0
498,13,62,0.0,0.0,0.0
499,13,62,0.0,0.0,0.0
500,13,62,0.0,0.0,0.0
