timestep,agent_id,x,y,panic_level,evacuated,age,stamina,family_id
6,1,2,3,0.0,False,11,0.94,2
6,2,65,36,0.0,False,46,0.94,4
6,13,44,20,0.0,False,8,0.94,10
6,5,74,34,0.0,False,30,0.94,3
6,21,40,55,0.0,False,27,0.94,7
6,20,54,0,0.0,False,71,0.94,9
6,29,56,70,0.0,False,46,0.94,11
6,15,61,70,0.0,False,67,0.94,4
6,11,8,14,0.0,False,17,0.94,12
6,8,75,30,0.0,False,70,0.94,13
6,7,45,28,0.0,False,31,0.94,1
6,6,46,0,0.0,False,29,0.94,0
6,9,82,41,0.0,False,61,0.94,11
6,0,36,59,0.0,False,39,0.94,6
6,18,67,64,0.0,False,72,0.94,5
6,19,31,35,0.0,False,14,0.94,1
6,14,34,25,0.0,False,62,0.94,15
6,17,83,30,0.0,False,75,0.94,2
6,16,49,9,0.0,False,18,0.94,1
7,18,66,63,0.0,False,72,0.9299999999999999,5
7,4,48,48,0.0,False,7,0.9299999999999999,1
7,6,45,0,0.0,False,29,0.9299999999999999,0
7,7,44,27,0.0,False,31,0.9299999999999999,1
7,8,76,30,0.0,False,70,0.9299999999999999,13
7,5,75,33,0.0,False,30,0.9299999999999999,3
7,1,2,2,0.0,False,11,0.9299999999999999,2
7,0,35,58,0.0,False,39,0.9299999999999999,6
7,10,18,37,0.0,False,32,0.9299999999999999,15
7,9,81,40,0.0,False,61,0.9299999999999999,11
7,3,15,21,0.0,False,22,0.9299999999999999,9
7,35,25,28,0.0,False,62,0.9299999999999999,11
7,36,51,62,0.0,False,65,0.9299999999999999,9
7,37,14,81,0.0,False,79,0.9299999999999999,7
7,38,20,66,0.0,False,47,0.9299999999999999,11
7,39,89,54,0.0,False,61,0.9299999999999999,2
7,40,1,37,0.0,False,29,0.9299999999999999,15
7,41,68,13,0.0,False,59,0.9299999999999999,10
7,42,78,63,0.0,False,60,0.9299999999999999,2
7,27,80,21,0.0,False,73,0.9299999999999999,7
7,28,65,57,0.0,False,51,0.9299999999999999,0
7,29,55,69,0.0,False,46,0.9299999999999999,11
7,30,28,18,0.0,False,76,0.9299999999999999,0
7,31,75,34,0.0,False,42,0.9299999999999999,10
7,32,11,9,0.0,False,24,0.9299999999999999,2
7,33,53,92,0.0,False,54,0.9299999999999999,2
7,34,87,13,0.0,False,12,0.9299999999999999,2
7,19,30,34,0.0,False,14,0.9299999999999999,1
7,20,53,0,0.0,False,71,0.9299999999999999,9
7,21,39,54,0.0,False,27,0.9299999999999999,7
7,22,71,42,0.0,False,6,0.9299999999999999,12
7,23,95,22,0.0,False,27,0.9299999999999999,9
7,24,0,64,0.0,False,41,0.9299999999999999,9
7,25,89,58,0.0,False,80,0.9299999999999999,7
7,26,21,29,0.0,False,50,0.9299999999999999,14
7,11,7,13,0.0,False,17,0.9299999999999999,12
7,12,86,69,0.0,False,50,0.9299999999999999,7
7,13,43,19,0.0,False,8,0.9299999999999999,10
7,14,33,25,0.0,False,62,0.9299999999999999,15
7,15,62,71,0.0,False,67,0.9299999999999999,4
7,16,48,8,0.0,False,18,0.9299999999999999,1
7,17,82,29,0.0,False,75,0.9299999999999999,2
7,73,71,1,0.0,False,76,0.9299999999999999,6
7,72,71,40,0.0,False,37,0.9299999999999999,3
7,71,69,0,0.0,False,56,0.9299999999999999,13
7,70,84,46,0.0,False,13,0.9299999999999999,4
7,61,21,74,0.0,False,59,0.9299999999999999,15
7,60,93,51,0.0,False,51,0.9299999999999999,4
7,59,20,74,0.0,False,69,0.9299999999999999,7
7,74,1,48,0.0,False,63,0.9299999999999999,3
7,69,83,88,0.0,False,65,0.9299999999999999,11
7,68,90,85,0.0,False,12,0.9299999999999999,11
7,67,62,66,0.0,False,29,0.9299999999999999,9
7,2,64,35,0.0,False,46,0.9299999999999999,4
7,62,0,50,0.0,False,17,0.9299999999999999,8
7,63,17,92,0.0,False,73,0.9299999999999999,12
7,64,54,84,0.0,False,76,0.9299999999999999,0
7,65,5,68,0.0,False,67,0.9299999999999999,1
7,66,30,39,0.0,False,10,0.9299999999999999,1
7,51,1,68,0.0,False,32,0.9299999999999999,9
7,52,17,55,0.0,False,26,0.9299999999999999,4
7,53,35,92,0.0,False,25,0.9299999999999999,13
7,54,78,42,0.0,False,9,0.9299999999999999,13
7,55,2,12,0.0,False,33,0.9299999999999999,9
7,56,50,72,0.0,False,19,0.9299999999999999,14
7,57,0,89,0.0,False,37,0.9299999999999999,1
7,58,12,50,0.0,False,60,0.9299999999999999,13
7,43,14,58,0.0,False,34,0.9299999999999999,13
7,44,63,5,0.0,False,31,0.9299999999999999,2
7,45,2,11,0.0,False,48,0.9299999999999999,4
7,46,84,23,0.0,False,50,0.9299999999999999,3
7,47,5,9,0.0,False,80,0.9299999999999999,13
7,48,14,0,0.0,False,66,0.9299999999999999,10
7,49,47,44,0.0,False,29,0.9299999999999999,13
7,50,31,66,0.0,False,12,0.9299999999999999,0
8,61,20,73,0.0,False,59,0.9199999999999999,15
8,60,92,50,0.0,False,51,0.9199999999999999,4
8,63,16,91,0.0,False,73,0.9199999999999999,12
8,62,0,49,0.0,False,17,0.9199999999999999,8
8,64,53,83,0.0,False,76,0.9199999999999999,0
8,65,4,68,0.0,False,67,0.9199999999999999,1
8,51,0,67,0.0,False,32,0.9199999999999999,9
8,50,31,67,0.0,False,12,0.9199999999999999,0
8,54,77,41,0.0,False,9,0.9199999999999999,13
8,55,1,11,0.0,False,33,0.9199999999999999,9
8,52,16,54,0.0,False,26,0.9199999999999999,4
8,53,34,91,0.0,False,25,0.9199999999999999,13
8,56,49,71,0.0,False,19,0.9199999999999999,14
8,57,0,90,0.0,False,37,0.9199999999999999,1
8,43,13,57,0.0,False,34,0.9199999999999999,13
8,42,77,62,0.0,False,60,0.9199999999999999,2
8,34,86,12,0.0,False,12,0.9199999999999999,2
8,35,26,28,0.0,False,62,0.9199999999999999,11
8,44,63,6,0.0,False,31,0.9199999999999999,2
8,45,1,10,0.0,False,48,0.9199999999999999,4
8,46,83,22,0.0,False,50,0.9199999999999999,3
8,47,4,9,0.0,False,80,0.9199999999999999,13
8,48,13,0,0.0,False,66,0.9199999999999999,10
8,49,46,43,0.0,False,29,0.9199999999999999,13
8,38,19,65,0.0,False,47,0.9199999999999999,11
8,39,88,53,0.0,False,61,0.9199999999999999,2
8,36,50,61,0.0,False,65,0.9199999999999999,9
8,37,13,80,0.0,False,79,0.9199999999999999,7
8,40,0,36,0.0,False,29,0.9199999999999999,15
8,41,67,12,0.0,False,59,0.9199999999999999,10
8,27,80,20,0.0,False,73,0.9199999999999999,7
8,26,20,28,0.0,False,50,0.9199999999999999,14
8,66,29,38,0.0,False,10,0.9199999999999999,1
8,67,61,65,0.0,False,29,0.9199999999999999,9
8,68,89,84,0.0,False,12,0.9199999999999999,11
8,69,82,87,0.0,False,65,0.9199999999999999,11
8,70,83,45,0.0,False,13,0.9199999999999999,4
8,71,68,0,0.0,False,56,0.9199999999999999,13
8,72,70,39,0.0,False,37,0.9199999999999999,3
8,73,70,0,0.0,False,76,0.9199999999999999,6
8,74,0,47,0.0,False,63,0.9199999999999999,3
8,58,11,49,0.0,False,60,0.9199999999999999,13
8,59,19,73,0.0,False,69,0.9199999999999999,7
8,22,72,42,0.0,False,6,0.9199999999999999,12
8,25,88,57,0.0,False,80,0.9199999999999999,7
8,24,0,63,0.0,False,41,0.9199999999999999,9
8,10,17,36,0.0,False,32,0.9199999999999999,15
8,11,6,12,0.0,False,17,0.9199999999999999,12
8,3,16,20,0.0,False,22,0.9199999999999999,9
8,12,85,68,0.0,False,50,0.9199999999999999,7
8,13,42,18,0.0,False,8,0.9199999999999999,10
8,14,32,24,0.0,False,62,0.9199999999999999,15
8,15,61,70,0.0,False,67,0.9199999999999999,4
8,16,48,7,0.0,False,18,0.9199999999999999,1
8,17,81,28,0.0,False,75,0.9199999999999999,2
8,2,63,36,0.0,False,46,0.9199999999999999,4
8,7,43,26,0.0,False,31,0.9199999999999999,1
8,4,47,47,0.0,False,7,0.9199999999999999,1
8,5,74,32,0.0,False,30,0.9199999999999999,3
8,6,44,0,0.0,False,29,0.9199999999999999,0
8,9,82,41,0.0,False,61,0.9199999999999999,11
8,8,77,31,0.0,False,70,0.9199999999999999,13
8,0,34,57,0.0,False,39,0.9199999999999999,6
8,1,1,1,0.0,False,11,0.9199999999999999,2
8,28,64,56,0.0,False,51,0.9199999999999999,0
8,29,54,69,0.0,False,46,0.9199999999999999,11
8,30,27,17,0.0,False,76,0.9199999999999999,0
8,31,74,33,0.0,False,42,0.9199999999999999,10
8,33,52,92,0.0,False,54,0.9199999999999999,2
